I_0,P_0,S_0,U_0,cosphi
0.14,0.00,2.49,10.03,0.00
0.25,11.00,22.03,50.20,0.50
0.39,44.00,68.54,100.60,0.64
0.56,97.00,145.27,150.67,0.67
0.85,168.00,294.27,200.67,0.57
1.54,270.00,667.17,250.67,0.40
3.57,430.00,1869.14,302.00,0.23
6.98,660.00,4237.44,350.67,0.16
10.01,900.00,6597.74,380.67,0.14
12.75,1200.00,8855.54,401.00,0.14
22.87,1500.00,17836.00,450.33,0.08
