Second,CH1,CH2,CH3,
-0.0063,-15.6,6,10, 
-0.0062,-15.6,5.8,10.4, 
-0.0061,-15.2,5.4,10.2, 
-0.006,-15,5.2,10.4, 
-0.0059,-14.6,4.6,10.4, 
-0.0058,-14.6,4,10.4, 
-0.0057,-13.8,3.2,10.8, 
-0.0056,-13.8,2.8,11, 
-0.0055,-13.4,1.8,11.6, 
-0.0054,-12.8,1.4,11.2, 
-0.0053,-12.2,0.2,12, 
-0.0052,-12.2,-0.2,11.8, 
-0.0051,-11.6,-1.4,12.6, 
-0.005,-11.6,-1.8,12.6, 
-0.0049,-11,-2.8,13.2, 
-0.0048,-11.2,-3.6,13.2, 
-0.0047,-10.4,-4.4,13.6, 
-0.0046,-10.2,-4.8,13.8, 
-0.0045,-9.8,-5.8,14.4, 
-0.0044,-9.4,-6.4,14.6, 
-0.0043,-9.2,-7.4,14.8, 
-0.0042,-9,-7.6,15.4, 
-0.0041,-8.6,-8.4,15.8, 
-0.004,-8.4,-8.6,16.2, 
-0.0039,-8.4,-9.4,16.4, 
-0.0038,-8,-9.6,16.6, 
-0.0037,-8.4,-10.2,17, 
-0.0036,-8.2,-10.6,17, 
-0.0035,-7.8,-10.8,17.4, 
-0.0034,-8.2,-11,17.6, 
-0.0033,-7.8,-11.2,17.8, 
-0.0032,-7.6,-11.6,17.8, 
-0.0031,-7.8,-11.4,17.4, 
-0.003,-7.6,-11.6,17.8, 
-0.0029,-7,-11.6,17.2, 
-0.0028,-7.2,-11.6,17, 
-0.0027,-6.6,-11.4,16.2, 
-0.0026,-6.4,-11.4,16.2, 
-0.0025,-5.6,-11,15.4, 
-0.0024,-5.2,-11.2,15.2, 
-0.0023,-4.6,-11.6,14.4, 
-0.0022,-4.4,-11.4,14.4, 
-0.0021,-2.8,-11.4,13.4, 
-0.002,-2.8,-11.4,13.2, 
-0.0019,-2,-11.6,12.6, 
-0.0018,-1.6,-11.4,12.2, 
-0.0017,-0.2,-11.6,11.2, 
-0.0016,-0.4,-11.6,11, 
-0.0015,0.8,-11.6,10.2, 
-0.0014,1.2,-11.6,9.8, 
-0.0013,2,-11.6,8.6, 
-0.0012,2.2,-11.6,8.8, 
-0.0011,3.2,-11.4,7.6, 
-0.000999999,3.4,-11.6,7.6, 
-0.000899999,4.4,-11.8,6.6, 
-0.000799999,4.6,-11.8,6.6, 
-0.000699999,5.4,-11.6,5.8, 
-0.000599999,5.8,-11.8,5.4, 
-0.0005,6.6,-12.2,5.2, 
-0.000399999,6.6,-11.8,5, 
-0.000299999,7.2,-12.2,4.6, 
-0.000199999,7.2,-12.2,4.4, 
-9.99993E-05,8,-12,4.2, 
5.51343E-10,7.8,-12.2,4.4, 
0.0001,8.2,-12.4,4, 
0.000200001,8,-12.2,3.6, 
0.000300001,8.4,-12.2,4, 
0.000400001,8.6,-12.2,3.6, 
0.000500001,8.6,-12,3.2, 
0.000600001,9,-12.2,3.2, 
0.000700001,9.2,-11.8,2.8, 
0.000800001,9,-11.6,2.4, 
0.000900001,9.4,-11.6,1.8, 
0.001,9.6,-11.6,1.6, 
0.0011,10.2,-11.4,0.4, 
0.0012,10.4,-11.4,0.6, 
0.0013,11,-11,-0.6, 
0.0014,11.2,-11,-1, 
0.0015,11.6,-10.8,-1.8, 
0.0016,11.8,-10.8,-2.2, 
0.0017,12.6,-10.2,-3.2, 
0.0018,12.8,-10.4,-3.6, 
0.0019,13.2,-10,-4.4, 
0.002,13.4,-9.8,-4.6, 
0.0021,13.6,-9.6,-5.4, 
0.0022,14,-9.6,-5.6, 
0.0023,14.6,-9.4,-6.6, 
0.0024,15,-9.4,-6.8, 
0.0025,14.8,-9,-7.4, 
0.0026,15.4,-8.8,-7.6, 
0.0027,15.8,-8.8,-8.6, 
0.0028,15.8,-8.6,-8.8, 
0.0029,16.6,-8.8,-9.6, 
0.003,16.6,-8.6,-9.4, 
0.0031,16.6,-8.8,-10, 
0.0032,17,-8.6,-10.2, 
0.0033,17.4,-9,-10.4, 
0.0034,17.2,-8.8,-10.4, 
0.0035,17.2,-8.6,-11, 
0.0036,17.2,-8.8,-11, 
0.0037,17.4,-8.6,-11, 
0.0038,17.2,-8.2,-11, 
0.0039,16.8,-8,-11, 
0.004,16.8,-7.8,-11, 
0.0041,16.4,-6.8,-11.2, 
0.0042,16,-6.6,-11, 
0.0043,15.4,-5.8,-11.6, 
0.0044,15.4,-5.4,-11.6, 
0.0045,14.6,-4.4,-12, 
0.0046,14.8,-4,-11.8, 
0.0047,14,-2.8,-12.4, 
0.0048,13.8,-2.4,-12.6, 
0.0049,13.4,-1,-13.2, 
0.005,13,-0.8,-13.4, 
0.0051,12.4,0.4,-13.6, 
0.0052,12.8,0.6,-13.8, 
0.0053,12,1.8,-14.4, 
0.0054,11.8,2,-14.6, 
0.0055,11.2,3.4,-15.2, 
0.0056,11.2,3.8,-15.4, 
0.0057,10.8,4.4,-16, 
0.0058,10.8,4.8,-16, 
0.0059,10.6,6.2,-16.6, 
0.006,10.4,6.2,-16.6, 
0.0061,9.8,7.2,-17, 
0.0062,10,7.2,-16.8, 
0.0063,9.6,7.8,-17.4, 
0.0064,9.8,8,-17.8, 
0.0065,9.4,8.4,-17.6, 
0.0066,10,8.8,-18, 
0.0067,9.4,9.2,-18.2, 
0.0068,9.6,9,-18, 
0.0069,9.2,9.2,-18.2, 
0.007,9,9,-18.2, 
0.0071,9.2,9.2,-17.8, 
0.0072,9,8.8,-17.6, 
0.0073,8.4,9,-17.4, 
0.0074,8.2,9,-16.8, 
0.0075,7.2,8.8,-16.2, 
0.0076,7,8.8,-16, 
0.0077,5.8,8.8,-15, 
0.0078,5.8,9,-15, 
