Second,CH1,CH2,CH3,
0.0304,8,-8,-8, 
0.0308,0,0,0, 
0.0312,0,-8,0, 
0.0316,8,-8,-8, 
0.032,0,-8,-8, 
0.0324,0,-8,0, 
0.0328,0,-8,-8, 
0.0332,0,-8,0, 
0.0336,0,-8,0, 
0.034,0,-8,0, 
0.0344,0,-8,-8, 
0.0348,0,0,0, 
0.0352,0,-8,0, 
0.0356,0,-8,0, 
0.036,0,-8,-8, 
0.0364,0,0,0, 
0.0368,0,0,0, 
0.0372,0,-8,0, 
0.0376,0,0,0, 
0.038,0,-8,0, 
0.0384,0,-8,0, 
0.0388,0,0,0, 
0.0392,0,-8,0, 
0.0396,8,-8,-8, 
0.04,0,-8,0, 
0.0404,0,-8,-8, 
0.0408,0,-8,0, 
0.0412,8,-8,0, 
0.0416,0,-8,0, 
0.042,0,-8,-8, 
0.0424,0,-8,0, 
0.0428,0,-8,-8, 
0.0432,0,-8,0, 
0.0436,0,0,-8, 
0.044,0,-8,0, 
0.0444,0,0,0, 
0.0448,0,-8,0, 
0.0452,0,-8,0, 
0.0456,0,-8,0, 
0.046,0,-8,8, 
0.0464,0,-8,8, 
0.0468,0,-8,8, 
0.0472,0,-8,16, 
0.0476,-16,-8,32, 
0.048,-16,-16,32, 
0.0484,-48,-32,80, 
0.0488,-56,-48,104, 
0.0492,-104,-88,184, 
0.0496,-112,-96,208, 
0.05,-144,-144,280, 
0.0504,-152,-160,304, 
0.0508,-168,-200,352, 
0.0512,-168,-216,368, 
0.0516,-136,-312,432, 
0.052,-136,-344,456, 
0.0524,-96,-432,504, 
0.0528,-80,-448,520, 
0.0532,-56,-496,528, 
0.0536,-32,-512,528, 
0.054,0,-512,504, 
0.0544,8,-504,496, 
0.0548,40,-472,432, 
0.0552,56,-456,408, 
0.0556,72,-392,320, 
0.056,80,-360,288, 
0.0564,104,-280,184, 
0.0568,112,-256,160, 
0.0572,104,-192,88, 
0.0576,104,-176,72, 
0.058,88,-128,40, 
0.0584,80,-112,32, 
0.0588,64,-64,0, 
0.0592,56,-56,-8, 
0.0596,32,-24,-16, 
0.06,32,-16,-24, 
0.0604,24,-8,-24, 
0.0608,24,-8,-24, 
0.0612,8,0,-32, 
0.0616,8,8,-24, 
0.062,8,0,-16, 
0.0624,0,8,-24, 
0.0628,0,8,-16, 
0.0632,0,8,-16, 
0.0636,0,8,-16, 
0.064,0,8,-16, 
0.0644,0,8,-16, 
0.0648,0,8,-16, 
0.0652,0,8,-16, 
0.0656,0,8,-16, 
0.066,0,8,-16, 
0.0664,0,0,-16, 
0.0668,0,8,-16, 
0.0672,0,8,-16, 
0.0676,0,8,-16, 
0.068,-8,8,-16, 
0.0684,-16,0,0, 
0.0688,-16,0,8, 
0.0692,-24,-16,32, 
0.0696,-40,-24,48, 
0.07,-64,-48,104, 
0.0704,-72,-64,120, 
0.0708,-88,-88,160, 
0.0712,-96,-96,168, 
0.0716,-104,-120,200, 
0.072,-104,-128,208, 
0.0724,-80,-176,232, 
0.0728,-80,-200,248, 
0.0732,-40,-264,272, 
0.0736,-24,-264,272, 
0.074,0,-280,264, 
0.0744,8,-280,248, 
0.0748,32,-256,216, 
0.0752,48,-240,200, 
0.0756,72,-200,128, 
0.076,80,-184,112, 
0.0764,88,-144,64, 
0.0768,88,-136,56, 
0.0772,72,-104,24, 
0.0776,72,-96,16, 
0.078,64,-64,-8, 
0.0784,56,-56,-16, 
0.0788,40,-32,-32, 
0.0792,40,-16,-32, 
0.0796,32,-8,-40, 
0.08,32,-8,-40, 
0.0804,24,8,-40, 
0.0808,16,8,-40, 
0.0812,16,8,-40, 
0.0816,8,16,-40, 
0.082,8,16,-32, 
0.0824,0,16,-32, 
0.0828,8,16,-32, 
0.0832,0,16,-32, 
0.0836,8,16,-32, 
0.084,0,16,-32, 
0.0844,0,8,-32, 
0.0848,0,16,-32, 
0.0852,0,16,-32, 
0.0856,0,16,-32, 
0.086,0,8,-24, 
0.0864,0,16,-32, 
0.0868,0,16,-24, 
0.0872,0,16,-24, 
0.0876,0,16,-24, 
0.088,0,16,-24, 
0.0884,-8,16,-16, 
0.0888,-8,16,-16, 
0.0892,-16,8,-8, 
0.0896,-24,0,0, 
0.09,-32,-16,32, 
0.0904,-40,-24,48, 
0.0908,-56,-48,80, 
0.0912,-56,-48,88, 
0.0916,-72,-64,112, 
0.092,-72,-72,120, 
0.0924,-64,-88,128, 
0.0928,-64,-96,128, 
0.0932,-32,-136,144, 
