Second,CH1,CH2,CH3,
0.1196,-24,24,0, 
0.12,-32,24,0, 
0.1204,-24,24,8, 
0.1208,-32,16,0, 
0.1212,-24,24,8, 
0.1216,-24,16,8, 
0.122,-32,16,16, 
0.1224,-32,16,16, 
0.1228,-32,8,16, 
0.1232,-32,0,16, 
0.1236,-32,0,24, 
0.124,-24,0,24, 
0.1244,-24,-8,32, 
0.1248,-24,-16,32, 
0.1252,0,-32,40, 
0.1256,0,-32,40, 
0.126,8,-40,48, 
0.1264,16,-48,48, 
0.1268,32,-48,40, 
0.1272,32,-48,40, 
0.1276,40,-48,32, 
0.128,48,-56,16, 
0.1284,64,-64,0, 
0.1288,64,-64,-8, 
0.1292,72,-56,-32, 
0.1296,72,-56,-40, 
0.13,72,-40,-48, 
0.1304,72,-40,-48, 
0.1308,64,-32,-56, 
0.1312,56,-24,-48, 
0.1316,32,-8,-40, 
0.132,24,-8,-40, 
0.1324,0,16,-32, 
0.1328,0,24,-24, 
0.1332,-8,24,-16, 
0.1336,-16,24,-16, 
0.134,-24,24,-16, 
0.1344,-24,32,-16, 
0.1348,-24,24,-8, 
0.1352,-24,24,-16, 
0.1356,-32,24,-8, 
0.136,-24,24,-8, 
0.1364,-24,24,0, 
0.1368,-32,24,0, 
0.1372,-24,24,-8, 
0.1376,-24,24,0, 
0.138,-32,24,0, 
0.1384,-24,24,0, 
0.1388,-24,24,8, 
0.1392,-24,24,0, 
0.1396,-24,24,0, 
0.14,-24,24,0, 
0.1404,-24,24,8, 
0.1408,-24,24,0, 
0.1412,-24,16,8, 
0.1416,-32,16,8, 
0.142,-24,8,16, 
0.1424,-24,16,16, 
0.1428,-32,8,16, 
0.1432,-24,8,16, 
0.1436,-32,0,24, 
0.144,-32,0,24, 
0.1444,-24,-8,24, 
0.1448,-24,-8,32, 
0.1452,-8,-16,32, 
0.1456,0,-24,32, 
0.146,8,-32,40, 
0.1464,8,-32,40, 
0.1468,16,-32,32, 
0.1472,24,-40,32, 
0.1476,32,-32,24, 
0.148,32,-40,16, 
0.1484,40,-40,0, 
0.1488,48,-40,-8, 
0.1492,56,-40,-24, 
0.1496,56,-32,-32, 
0.15,64,-32,-40, 
0.1504,64,-32,-40, 
0.1508,48,-24,-48, 
0.1512,40,-16,-40, 
0.1516,32,-8,-32, 
0.152,24,0,-32, 
0.1524,0,16,-16, 
0.1528,0,24,-24, 
0.1532,-8,24,-16, 
0.1536,-16,24,-16, 
0.154,-8,24,-16, 
0.1544,-16,24,-16, 
0.1548,-24,24,-16, 
0.1552,-24,24,-16, 
0.1556,-24,24,-8, 
0.156,-24,24,-8, 
0.1564,-24,24,0, 
0.1568,-24,24,0, 
0.1572,-24,24,0, 
0.1576,-24,24,0, 
0.158,-24,16,0, 
0.1584,-24,24,0, 
0.1588,-24,24,0, 
0.1592,-24,24,0, 
0.1596,-24,24,8, 
0.16,-24,24,0, 
0.1604,-24,24,8, 
0.1608,-24,16,8, 
0.1612,-24,16,8, 
0.1616,-24,16,8, 
0.162,-24,8,16, 
0.1624,-24,8,16, 
0.1628,-32,8,16, 
0.1632,-32,8,16, 
0.1636,-24,0,24, 
0.164,-24,-8,24, 
0.1644,-24,-8,24, 
0.1648,-24,-8,24, 
0.1652,-8,-16,24, 
0.1656,-8,-16,24, 
0.166,0,-32,32, 
0.1664,8,-32,32, 
0.1668,16,-32,24, 
0.1672,16,-32,32, 
0.1676,24,-32,16, 
0.168,24,-32,16, 
0.1684,32,-32,0, 
0.1688,32,-32,-8, 
0.1692,40,-32,-24, 
0.1696,48,-32,-24, 
0.17,48,-32,-40, 
0.1704,48,-24,-40, 
0.1708,40,-16,-40, 
0.1712,32,-8,-40, 
0.1716,24,-8,-24, 
0.172,24,0,-24, 
0.1724,0,16,-16, 
0.1728,0,16,-16, 
0.1732,-8,24,-16, 
0.1736,-8,24,-16, 
0.174,-16,24,-16, 
0.1744,-16,24,-16, 
0.1748,-16,24,-16, 
0.1752,-16,24,-8, 
0.1756,-24,24,-8, 
0.176,-24,24,-8, 
0.1764,-24,24,0, 
0.1768,-24,24,0, 
0.1772,-24,16,0, 
0.1776,-24,24,0, 
0.178,-24,24,0, 
0.1784,-24,24,0, 
0.1788,-24,16,0, 
0.1792,-24,16,0, 
0.1796,-24,24,8, 
0.18,-24,16,0, 
0.1804,-24,16,0, 
0.1808,-24,16,8, 
0.1812,-24,16,8, 
0.1816,-24,8,8, 
0.182,-24,16,16, 
0.1824,-24,8,16, 
0.1828,-24,0,16, 
0.1832,-24,8,24, 
0.1836,-24,0,16, 
0.184,-24,-8,24, 
0.1844,-24,-8,24, 
0.1848,-16,-8,24, 
0.1852,-8,-8,24, 
0.1856,-8,-16,24, 
0.186,0,-32,24, 
0.1864,0,-32,24, 
0.1868,8,-32,24, 
0.1872,16,-32,24, 
0.1876,24,-32,16, 
0.188,24,-32,16, 
0.1884,32,-32,0, 
0.1888,32,-24,-8, 
0.1892,32,-32,-16, 
0.1896,40,-24,-24, 
0.19,48,-24,-32, 
0.1904,48,-24,-40, 
0.1908,32,-8,-40, 
0.1912,32,-8,-32, 
0.1916,24,-8,-24, 
0.192,16,0,-24, 
0.1924,0,16,-16, 
0.1928,0,16,-16, 
0.1932,-8,24,-16, 
0.1936,-8,24,-16, 
0.194,-8,24,-16, 
0.1944,-8,24,-16, 
0.1948,-16,24,-16, 
0.1952,-16,24,-16, 
0.1956,-16,24,-8, 
0.196,-16,16,-8, 
0.1964,-24,24,0, 
0.1968,-24,16,0, 
0.1972,-24,24,0, 
0.1976,-16,16,0, 
0.198,-24,16,0, 
0.1984,-24,16,0, 
0.1988,-16,16,8, 
0.1992,-24,16,8, 
0.1996,-16,16,0, 
0.2,-24,16,0, 
0.2004,-24,16,8, 
0.2008,-24,16,0, 
0.2012,-24,16,8, 
0.2016,-24,16,8, 
0.202,-24,8,16, 
0.2024,-24,8,16, 
0.2028,-24,0,16, 
0.2032,-24,0,16, 
0.2036,-24,-8,24, 
0.204,-24,0,24, 
0.2044,-24,-8,16, 
0.2048,-16,-8,16, 
0.2052,-8,-8,24, 
0.2056,0,-8,16, 
0.206,0,-24,24, 
0.2064,0,-24,16, 
0.2068,8,-32,24, 
0.2072,16,-32,24, 
0.2076,16,-32,16, 
0.208,16,-24,16, 
0.2084,24,-32,0, 
0.2088,24,-24,-8, 
0.2092,32,-16,-16, 
0.2096,32,-24,-24, 
0.21,40,-16,-32, 
0.2104,40,-16,-32, 
0.2108,32,-8,-32, 
0.2112,32,-8,-32, 
0.2116,16,0,-24, 
0.212,8,0,-24, 
0.2124,0,16,-16, 
0.2128,0,16,-16, 
0.2132,-8,24,-16, 
0.2136,0,24,-16, 
0.214,-8,24,-16, 
0.2144,-8,24,-16, 
0.2148,-16,24,-16, 
0.2152,-8,24,-8, 
0.2156,-16,16,-8, 
0.216,-16,24,-8, 
0.2164,-16,16,0, 
0.2168,-16,16,0, 
0.2172,-16,16,0, 
0.2176,-16,16,0, 
0.218,-16,16,0, 
0.2184,-16,16,0, 
0.2188,-24,16,8, 
0.2192,-24,16,8, 
0.2196,-24,16,0, 
