Second,CH1,CH2,CH3,
0.1128,16,-8,0, 
0.1132,24,-8,0, 
0.1136,24,-8,0, 
0.114,16,-8,0, 
0.1144,16,-8,-8, 
0.1148,24,-8,0, 
0.1152,24,-8,-8, 
0.1156,16,-8,0, 
0.116,24,-8,-8, 
0.1164,24,-8,-8, 
0.1168,24,-8,-8, 
0.1172,24,-8,-8, 
0.1176,24,-8,-8, 
0.118,24,0,-16, 
0.1184,24,0,-16, 
0.1188,32,0,-16, 
0.1192,32,0,-16, 
0.1196,32,8,-24, 
0.12,32,8,-32, 
0.1204,24,16,-24, 
0.1208,24,16,-24, 
0.1212,16,24,-32, 
0.1216,16,24,-24, 
0.122,0,40,-32, 
0.1224,0,40,-32, 
0.1228,-16,56,-32, 
0.1232,-16,56,-32, 
0.1236,-24,56,-24, 
0.124,-24,56,-24, 
0.1244,-24,48,-8, 
0.1248,-24,48,-8, 
0.1252,-32,40,16, 
0.1256,-40,40,16, 
0.126,-48,32,32, 
0.1264,-56,32,32, 
0.1268,-48,24,32, 
0.1272,-48,24,32, 
0.1276,-32,24,40, 
0.128,-24,16,32, 
0.1284,-16,0,24, 
0.1288,-8,-8,24, 
0.1292,0,-8,16, 
0.1296,0,-8,16, 
0.13,8,-16,16, 
0.1304,8,-8,16, 
0.1308,16,-16,16, 
0.1312,16,-8,8, 
0.1316,8,-8,8, 
0.132,16,-8,8, 
0.1324,16,-8,0, 
0.1328,16,-8,0, 
0.1332,24,-8,-8, 
0.1336,24,-8,0, 
0.134,16,-8,8, 
0.1344,16,-8,0, 
0.1348,24,-8,-8, 
0.1352,24,-8,0, 
0.1356,24,-8,-8, 
0.136,24,-8,0, 
0.1364,24,-8,-8, 
0.1368,24,-8,-8, 
0.1372,24,-8,-8, 
0.1376,32,-8,-8, 
0.138,24,0,-16, 
0.1384,24,0,-16, 
0.1388,32,0,-16, 
0.1392,32,0,-16, 
0.1396,32,8,-24, 
0.14,32,8,-24, 
0.1404,32,16,-32, 
0.1408,24,16,-24, 
0.1412,16,24,-32, 
0.1416,16,24,-24, 
0.142,0,24,-24, 
0.1424,0,32,-24, 
0.1428,-8,40,-24, 
0.1432,-8,48,-24, 
0.1436,-16,48,-24, 
0.144,-16,48,-16, 
0.1444,-24,40,-16, 
0.1448,-24,40,-8, 
0.1452,-24,32,8, 
0.1456,-24,32,16, 
0.146,-32,24,24, 
0.1464,-40,24,24, 
0.1468,-40,24,32, 
0.1472,-40,24,40, 
0.1476,-24,16,24, 
0.148,-24,8,32, 
0.1484,-8,0,16, 
0.1488,0,-8,16, 
0.1492,0,-8,16, 
0.1496,0,-8,16, 
